inflfn,measure,rmse,trendfn,std_sim_error,me,nsim,params,resamplefn,mse,corr,mae,path
PercWeighted-55.0,Percentil ponderado 55.0,2.2636416,TrendRandomWalk,0.02590574318595616,-2.1999142,125000,"(0.55f0,)",ResampleSBB-36,7.171977,0.81405485,2.2636416,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-55.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-73.0,Percentil ponderado 73.0,1.9778912,TrendRandomWalk,0.0401731783557369,1.5799903,125000,"(0.73f0,)",ResampleSBB-36,7.6126156,0.8526966,1.9778912,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-73.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-54.0,Percentil ponderado 54.0,2.397156,TrendRandomWalk,0.027629321359894977,-2.3579433,125000,"(0.54f0,)",ResampleSBB-36,7.902153,0.8097351,2.397156,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-54.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-53.0,Percentil ponderado 53.0,2.5341516,TrendRandomWalk,0.02924790600222176,-2.5127864,125000,"(0.53f0,)",ResampleSBB-36,8.667123,0.805905,2.5341516,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-53.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-74.0,Percentil ponderado 74.0,2.192112,TrendRandomWalk,0.047756563027613524,1.9063131,125000,"(0.74f0,)",ResampleSBB-36,9.275616,0.8519187,2.192112,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-74.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-52.0,Percentil ponderado 52.0,2.6691155,TrendRandomWalk,0.030722695038323443,-2.658372,125000,"(0.52f0,)",ResampleSBB-36,9.433584,0.80284923,2.6691155,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-52.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-51.0,Percentil ponderado 51.0,2.811837,TrendRandomWalk,0.032468572604047195,-2.8072243,125000,"(0.51f0,)",ResampleSBB-36,10.287855,0.7977891,2.811837,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-51.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-50.0,Percentil ponderado 50.0,2.9534903,TrendRandomWalk,0.03419160590352846,-2.9521523,125000,"(0.5f0,)",ResampleSBB-36,11.160558,0.7933954,2.9534903,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-50.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-75.0,Percentil ponderado 75.0,2.4498208,TrendRandomWalk,0.05765496821531009,2.2571032,125000,"(0.75f0,)",ResampleSBB-36,11.373223,0.8505661,2.4498208,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-75.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-76.0,Percentil ponderado 76.0,2.753026,TrendRandomWalk,0.0671216224355602,2.6243021,125000,"(0.76f0,)",ResampleSBB-36,13.820648,0.8500596,2.753026,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-76.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-77.0,Percentil ponderado 77.0,3.1039436,TrendRandomWalk,0.07780498671431349,3.0206988,125000,"(0.77f0,)",ResampleSBB-36,16.800762,0.8495057,3.1039436,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-77.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-78.0,Percentil ponderado 78.0,3.4947476,TrendRandomWalk,0.09121236182943815,3.44448,125000,"(0.78f0,)",ResampleSBB-36,20.474957,0.8471251,3.4947476,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-78.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-79.0,Percentil ponderado 79.0,3.9572628,TrendRandomWalk,0.10801893355058291,3.928105,125000,"(0.79f0,)",ResampleSBB-36,25.184298,0.8446472,3.9572628,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-79.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercWeighted-80.0,Percentil ponderado 80.0,4.4691916,TrendRandomWalk,0.12733080565875757,4.453619,125000,"(0.8f0,)",ResampleSBB-36,30.919662,0.8414315,4.4691916,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\HEMI - inflfn = PercWeighted-80.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
