Date,_0111101,_0111102,_0111201,_0111202,_0111203,_0111301,_0111302,_0111303,_0111304,_0111305,_0111306,_0111401,_0111402,_0111501,_0111502,_0111503,_0112101,_0112201,_0112202,_0112203,_0112401,_0112402,_0112501,_0112502,_0112503,_0112504,_0112505,_0112506,_0113101,_0113201,_0113301,_0113401,_0114101,_0114201,_0114301,_0114302,_0114501,_0114502,_0114503,_0114504,_0114601,_0114701,_0114801,_0115101,_0115301,_0116101,_0116102,_0116103,_0116104,_0116105,_0116106,_0116201,_0116202,_0116301,_0116302,_0116401,_0116501,_0116502,_0116503,_0117101,_0117102,_0117103,_0117104,_0117105,_0117106,_0117107,_0117108,_0117109,_0117201,_0117202,_0117203,_0117204,_0117205,_0117301,_0117401,_0117402,_0117403,_0117404,_0117405,_0117501,_0117601,_0117602,_0117603,_0117901,_0118101,_0118301,_0118501,_0118601,_0118901,_0119101,_0119201,_0119301,_0119302,_0119303,_0119304,_0119305,_0119306,_0119401,_0119901,_0119902,_0119903,_0119904,_0121001,_0121002,_0122001,_0122002,_0123001,_0125001,_0126001,_0129001,_0130001,_0211001,_0211002,_0213001,_0230101,_0311001,_0312101,_0312102,_0312103,_0312104,_0312105,_0312106,_0312107,_0312108,_0312109,_0312110,_0312111,_0312112,_0312201,_0312202,_0312203,_0312204,_0312205,_0312206,_0312207,_0312208,_0312301,_0312302,_0312303,_0312304,_0312305,_0312306,_0312307,_0312308,_0312309,_0312310,_0312311,_0312312,_0312401,_0312402,_0312403,_0312404,_0312405,_0312406,_0312407,_0312501,_0312502,_0312503,_0312504,_0312601,_0313101,_0313102,_0313201,_0314101,_0321101,_0321102,_0321103,_0321104,_0321105,_0321201,_0321202,_0321203,_0321204,_0321205,_0321206,_0321301,_0321302,_0321303,_0411101,_0431101,_0431102,_0431103,_0431104,_0431105,_0431106,_0431107,_0431108,_0431109,_0432101,_0432102,_0441101,_0441201,_0442001,_0451001,_0452201,_0454101,_0454201,_0454202,_0511101,_0511102,_0511103,_0511104,_0511401,_0521101,_0521201,_0521202,_0521301,_0521302,_0531101,_0531102,_0531103,_0531201,_0532101,_0532901,_0540101,_0540301,_0540302,_0540303,_0540304,_0551001,_0552101,_0552201,_0561101,_0561102,_0561103,_0561104,_0561105,_0561106,_0561107,_0561108,_0561901,_0561902,_0561903,_0561904,_0561905,_0561906,_0561907,_0561908,_0562101,_0611101,_0611102,_0611103,_0611104,_0611105,_0611106,_0611107,_0611108,_0611109,_0611110,_0611111,_0611112,_0611113,_0611114,_0611115,_0611116,_0611117,_0611118,_0611119,_0611120,_0611121,_0611122,_0611123,_0611124,_0611125,_0611201,_0612201,_0612301,_0612302,_0613101,_0613301,_0621901,_0621902,_0621903,_0621904,_0621905,_0621906,_0621907,_0621908,_0621909,_0622101,_0622901,_0622902,_0622903,_0622904,_0622905,_0631001,_0631002,_0631003,_0631004,_0631005,_0641101,_0641102,_0641201,_0641202,_0641203,_0641204,_0641205,_0711101,_0711102,_0711103,_0712001,_0713001,_0721101,_0721201,_0721202,_0721203,_0722101,_0722201,_0722401,_0722402,_0723101,_0723102,_0723103,_0723104,_0723105,_0723106,_0724101,_0724102,_0724301,_0724302,_0732101,_0732102,_0732103,_0732201,_0732202,_0732301,_0732901,_0733201,_0741201,_0812001,_0813101,_0813102,_0813201,_0814001,_0814002,_0819201,_0831001,_0832001,_0832002,_0833001,_0834001,_0835001,_0839201,_0839202,_0921101,_0921201,_0921202,_0921203,_0922101,_0931201,_0931202,_0932101,_0932102,_0945001,_0946201,_0946202,_0961001,_0971101,_0971901,_0971902,_0972101,_0974001,_0974002,_0974003,_0974004,_0974005,_0974006,_0974007,_0974008,_0980001,_1010101,_1010201,_1020001,_1020002,_1020003,_1040001,_1050101,_1050901,_1050902,_1050903,_1111101,_1111102,_1111103,_1111104,_1111105,_1111106,_1111107,_1111108,_1111201,_1111202,_1111203,_1111204,_1111205,_1111206,_1111207,_1111208,_1111209,_1111210,_1111211,_1120101,_1211001,_1212001,_1214101,_1221001,_1229901,_1311101,_1312001,_1312002,_1312003,_1312004,_1312005,_1312006,_1312007,_1312008,_1312009,_1312010,_1312011,_1312012,_1312013,_1313101,_1313102,_1313103,_1313104,_1313105,_1313201,_1321101,_1321102,_1321103,_1321104,_1329101,_1329102,_1329103,_1390901,_1390902,_1390903,_1390904,_1390905
2023-12-01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2024-01-01,100.05,99.96,98.96,100.39,99.95,99.13,98.54,99.77,99.4,100.89,99.92,99.8,99.1,100.27,100.02,99.78,100,100.17,101.04,101.93,100.03,99.69,99.54,101.33,99.45,99.48,100.28,99.24,100.92,100,99.99,99.51,101.94,101.06,99.34,100.08,100.26,99.61,100.41,100.21,99.62,99.56,99.46,100.16,100.74,99.08,99.77,102.28,100,98.28,100.45,100.48,100.03,98.22,100,98.85,102.77,99.59,98.84,102.46,102.24,98.2,97.09,99.93,100.18,99.97,99.87,100.19,99.79,101.36,101.99,97.67,99.65,101.64,97.75,100.68,102.63,99.54,99.85,97.57,98.43,99.15,99.4,100.43,99.91,99.84,100.05,100.21,100.06,100.66,99.41,100.36,100.36,99.09,100.45,100.53,100.64,99.93,99.55,100.36,100.12,100,100.15,99.63,99.72,99.63,99.99,100.17,99.89,99.57,100.1,99.65,99.41,100.02,99.14,100.27,99.96,100,99.8,100.01,99.93,100,99.85,100,100,100.12,100,99.57,100,99.96,99.98,100,100.06,100,99.94,100.01,99.92,100.07,100.97,99.98,99.71,100.12,100,99.88,100,100.1,99.83,99.67,100,99.79,100.09,100,100,100,99.81,100.27,100,100,100.52,100.32,100.17,100,100,100.18,100,100.32,100,100,100,100.18,99.43,100.01,100,100,100.04,100,99.93,100,100.06,100.41,100.13,100,99.77,99.99,100,100,100,100,99.67,100,100,100,101.68,100.02,94.3,100.36,99.94,100,100.11,100.02,100,99.9,100,100,100,100,100,100.03,99.93,100.08,98.97,99.81,99.65,100.28,99.95,99.66,100.21,100.41,100,100,100.63,99.89,100,99.28,99.33,100.16,99.78,100.3,100.46,99.81,99.85,99.61,100.39,98.96,100.03,100,99.82,99.81,100.31,100.2,100,100,99.72,100,100,100,99.99,99.97,100.12,99.94,99.99,100,100.08,100,100,100,99.69,100,100,100,99.99,100,100,100,100,100,100,100,100,100,100.48,100,100.06,100,100,100,100,100,100,99.98,100,100.02,100.04,100,100,100,100,100,100,100,99.89,100,100.19,100.2,99.8,100,100,100.11,100,100.02,100.03,100,99.91,99.78,100.13,100,98.34,102.11,100.1,99.89,100.26,100.14,100,99.75,100,100,101.4,100,100,100,100,100.03,100,100.38,100,101.71,99.94,98.26,99.99,100.1,100,100,99.93,100.17,99.72,99.98,100,100,100,99.33,100.93,100,100.37,100,99.9,99.49,100.02,100,100,100,100,100,99.87,100,99.98,100.21,100.02,100,100.14,99.92,100.34,100,100.35,100,99.88,100,100.13,100.01,99.86,100,100.73,100.16,100.54,100,100,100,100,100,100,100,100.24,100,100.07,100,100.19,100,100,100,100.22,100,99.96,100.42,100.2,101,99.98,100.13,100,100,100,100,100,100,100,100,100,100,100.51,99.51,100.06,99.8,100.19,100.39,99.75,99.4,100.36,99.55,99.63,99.92,100,99.97,100.05,100.24,100.36,100,100,100.23,100,100,99.83,100,100,100,100,100.11,100,100,100
2024-02-01,99.98,96.04,96.3,100.56,99.51,98.84,98.35,99.7,99.04,100.5,100.15,98.91,99.67,100.04,99.15,100.27,100,100.65,100.83,101.07,98.16,100.07,99.54,101.88,100.08,100.09,100.48,100.71,102.1,100,99.54,98.72,99.74,104.9,99.97,103.06,100.91,100.01,101.22,101.51,99.73,99.68,97.04,102.28,100.88,101.87,102.07,102.66,99.78,96.99,101.69,108.78,105.98,100.41,100,98.65,105.12,98.39,100.09,109.18,99.69,95.95,91.26,98.93,99.4,102.61,103.07,100.34,95.78,102.85,96.35,102.59,101.04,105.85,98.01,102.05,113.4,98,100.57,97.34,99.06,98.16,99.81,99.92,99.77,98.33,100.28,100.81,100.42,100.27,101.51,101.18,100.46,98.19,101.13,100.06,100.65,100.26,99.17,100.29,100.26,100,100.26,99.56,99.76,99.62,100.17,101.11,100.07,102.67,99.53,99.52,94.49,99.64,99.39,100.42,99.96,100,99.99,99.88,100.36,100,100.44,100,100,100.51,100.85,100.2,100.03,100.58,99.78,100,100,100,100.53,99.74,99.98,100.21,100.97,100.14,99.86,100.55,100,100.01,100,100.1,99.75,99.86,100,99.69,100.17,100,100,100,99.18,100.25,99.69,100.06,101.22,100.9,100.17,100,100,100.18,100,100.5,102.23,101.32,100,101.14,99.8,100.01,100,100,99.48,100,100.74,98.45,100.3,100.62,100.18,100.02,99.77,99.97,99.94,100,100,100,99.67,100,100,100,103.91,98.98,93.95,102.02,100.45,100.32,100.01,99.7,99.96,100,100,100,100,100,100,99.67,98.97,99.84,98.16,99.23,99.7,99.92,100.45,100.99,100.91,100.01,100.89,100,100.47,100.44,100.32,98.96,98.41,100.68,99.82,99.97,100.33,101.09,98.22,100.42,99.64,99.02,99.56,99.96,99.89,99.34,100.64,100.08,100,100,99.96,100,100.26,100,99.99,99.97,99.61,99.94,100.18,100.22,100.43,100,100,100.11,99.83,100,100,100.01,99.99,100,100.38,100,100,100,100,100,100,100,100.41,100.22,100.06,100,100,100,100,100,100,100.05,100,100.16,99.65,100.55,100,100,100,100,100,100,100.05,100,100.43,100.11,99.8,100,100,100.1,99.2,101.47,100.03,100.05,100.38,99.86,100.11,100,102.92,106.06,100.92,99.89,101.15,100.14,100,99.93,100,100,101.11,100,100,100,100,99.85,100,101.38,100.39,101.71,101.11,89.69,99.83,100.65,100.46,100,99.93,100.3,99.57,99.98,100.63,100,100,99.33,100.93,99.75,100.36,100,99.69,99.7,100.79,100,100,99.37,100,100,99.57,100.83,99.85,100.21,99.6,100,100.19,100.9,100.34,100.01,100.86,101.06,99.81,99.93,99.79,100.53,99.33,100,101.11,100.81,101.06,100,100,100,100,100,99.81,100,101.23,100,100.42,100,100.52,100.47,101.85,100,100.06,100,99.95,101.96,101.37,101.81,99.94,100.1,100.91,100,100,100.69,100,100,100,100.1,100,100.38,99.73,99.11,100.42,98.29,100.22,100.53,98.96,99.62,100.68,99,99.75,100.12,100.07,100.28,100.8,100.37,100.36,100,100.13,100.36,100,100,99.91,100,100,100,100,100.86,100,100,100
2024-03-01,101.679318,96.468487,97.059628,100.755228,99.847446,98.837191,98.04023,100.135383,99.167605,100.822442,102.20988,98.829479,101.399654,100.518052,99.229322,100.436269,100,100.594999,100.513417,100.746376,97.783458,100.17733,99.375139,102.264818,100.391619,99.784735,100.559575,102.677583,101.98834,100,99.579596,97.708269,100.928181,104.038806,100.741579,101.15207,102.212169,100.366425,101.097383,101.724646,99.586428,99.20164,96.45071,102.18503,103.174377,100.335806,103.547344,103.213848,99.855685,97.089575,103.557309,137.743547,111.416316,98.207963,100,98.971805,107.480749,98.82674,97.570885,125.14066,104.431344,101.465007,88.65859,100.028166,100.172071,104.40994,100.283141,101.001694,93.7862,104.459742,90.759446,123.480358,104.504517,112.505668,98.237378,102.728709,110.319234,99.901229,103.016591,98.185879,98.882657,98.49818,100.099034,98.824308,100.302874,99.229177,99.887701,100.921172,100.717243,99.937588,102.177256,101.08318,100.350282,100.396237,101.611911,100.508561,99.765548,99.988485,101.093306,100.296551,100.096954,100,101.167915,100.221523,100.103453,99.568822,100.685834,101.420682,100.774662,101.64552,100.387749,99.096622,95.484498,99.511956,99.450752,100.415882,100.079672,100,99.982902,99.946117,100.807848,100,100.514971,100,100,100.09002,100.950334,100.36652,100.028291,100.613967,99.773945,100,99.905405,100,100.447791,99.743435,100.058898,100.330919,100.967083,100.233404,99.749985,100.60104,100,100.20118,100,100.122417,99.846771,99.85564,99.969287,99.805261,100.529184,100,100,100,99.176113,100.254049,99.688324,100.057402,101.870977,100.969414,100.305343,100,100,100.716767,100.514595,100.539322,102.226945,101.452041,99.887682,101.185091,99.685137,99.957153,99.721416,99.974047,99.402988,100,100.77058,99.150305,100.313528,100.694515,100.629294,100.015231,99.770135,99.698694,99.937812,100,99.794894,100,100.266146,100,100.39,100,103.907323,98.915489,93.911172,101.859703,100.448405,100.135153,99.803832,99.733621,100.049526,100.087286,100,100,99.887461,100,101.232994,99.673205,99.08696,100.20099,98.045371,100.290736,99.580271,99.85103,100.413595,100.994885,100.914411,99.94294,100.888704,100,100.519762,100.139606,100.254548,98.937145,98.440485,100.676328,99.525015,100.244084,100.370746,101.421008,98.742875,100.675559,99.367757,99.003937,99.456101,99.831011,99.884934,99.336316,100.699806,100.051383,100,100,100.096574,100.296631,100.43217,100,99.986243,99.763439,99.629196,99.925598,100.53055,100.229982,100.597928,99.996592,100,100.075812,99.828389,100.114483,100,100.193641,99.990272,100,100.381816,100,100,100,100,100.057254,100.097358,99.994678,100.684759,100.285313,100.060978,100,100,99.254832,100,100,100,100.191755,99.726307,100.159722,99.651423,100.546024,100,100,100,100,100,100,100.047121,100,100.657983,100.366964,100.106493,100.050044,100,100.804362,99.203367,101.15383,99.502788,100.264963,100.298399,99.848007,100.14541,100,101.213634,111.457839,100.847376,98.952164,102.194169,100.321166,100.176673,99.88149,100,100,101.105341,100,100,100,100,99.852219,100,101.923636,100.39355,101.710022,101.108509,112.623706,100.242332,100.833461,100.456998,99.547921,101.83826,100.747603,99.56784,99.975611,100.633468,100,100,99.326312,100.933483,99.749646,100.818399,100,99.678356,99.951897,100.791889,100,100,98.960545,100,99.876238,99.768309,100.834144,99.853077,100.335285,99.595305,99.938639,100.907896,101.134438,100.341054,100.066627,101.976168,101.06327,99.772907,99.885592,99.677364,100.53309,99.497564,103.596879,101.167531,101.014016,101.029641,100,100,100,100,103.097969,99.805891,100,101.323752,100,100.730231,99.959905,100.763756,100.468733,102.774737,100,100.17215,100,100.186808,101.993031,102.117806,102.014263,100.515689,100.186172,100.905334,101.021106,100,103.956678,100,100,100,105.596509,100.904393,100.377861,99.342284,99.003173,100.169047,97.243621,100.16136,99.774396,98.265987,99.699407,100.774206,100.338931,100.73644,100.12659,100.048256,100.629461,101.417891,100.753844,100.359044,100,100.146918,100.33597,100,100,100.01286,100,100,100,100,101.20809,100,100,100
2024-04-01,102.0972153,98.82446755,98.14709419,101.1873885,100.7877869,98.56464023,97.97448778,100.6404878,99.03653851,100.1357577,102.5861245,99.68620169,101.8615011,100.7250812,99.49257719,99.86121441,100,100.412986,100.6093564,100.5761124,97.95587788,100.0157817,98.75201519,102.0337244,99.82085253,98.82639699,99.5657884,102.5049196,102.3327519,100,99.19120973,96.45382396,101.6703337,103.9657018,101.1033892,100.7230795,101.9748521,97.3258255,101.4642202,101.5398413,100.9724037,99.53283964,94.91552354,102.2551392,103.405908,106.8365068,102.051462,104.8009608,100.1640706,100.8664419,107.2291362,158.5200557,117.3897326,100.3486101,100,101.0731753,107.4257426,98.68803119,98.68707777,140.3402929,109.1992457,119.3383851,87.49571301,99.92963073,101.7180318,104.9859137,106.0230514,100.2689652,92.7208466,104.5801236,84.01902847,145.0250198,105.6289183,105.2493655,101.6940937,101.990215,96.89030528,99.79955191,103.6295778,106.2303236,99.73207434,98.85620931,100.4188267,100.2428997,100.515387,99.62432933,100.1662685,101.2598444,100.7801862,100.1441217,102.2418703,101.0189402,100.5716885,100.5792699,102.0353607,102.9517896,100.1257708,99.77172248,101.0317011,100.2200391,99.60918516,100,101.597871,100.6795519,100.2580723,99.30408765,100.8498021,101.8608758,100.9955822,100.9263914,100.6732144,99.06546114,95.83935064,99.53569957,99.89586957,100.39064,100.0268842,100,100.0929484,99.88881402,101.1123124,100,100.390398,100,100,100.2034634,101.2131393,100.3933133,100.0282906,100.6139672,99.78033453,100,100.0529116,100,100.3197487,99.70216215,101.1821246,100.4851507,100.9893071,100.3494123,99.70351571,100.6010402,100,100.1814815,100,100.1334557,99.84224791,99.88045527,99.96928712,100.1058078,100.5204433,100,100,100,99.17903601,100.1765641,99.68832401,100.0574015,101.903458,101.1363647,100.5436692,99.53265834,100,102.3709508,100.514595,100.8760754,102.2269451,101.4520407,99.88768227,101.9645036,99.75396358,99.95715252,99.72141604,99.97404679,99.42820149,100,100.8347984,99.15030494,100.4048814,100.7836605,100.7011003,100.0152313,99.92664069,99.45536856,99.81642411,100,99.90981591,100.1211736,100.8264509,100.0190433,100.4223098,100,104.4613175,98.91560724,93.91117153,102.169272,101.1573253,100.1190611,99.87061244,99.95654133,100.229997,100.3735934,100,100.3035068,99.98147556,100,101.1876167,99.6670626,98.95246902,100.5212146,98.524989,100.2157614,99.54987574,101.631396,100.3672093,100.9948849,101.4466183,100.7683291,100.7585114,100,100.5353687,100.1108106,100.6892466,98.52166166,98.4860479,100.4996189,99.88682337,100.3474041,100.5396179,101.7562169,99.29582323,100.8799455,99.4559582,99.25791787,99.45610097,99.49103255,99.88826538,100.3468264,100.6998056,99.74074132,100.0215091,100.2870966,100.1892599,100.2974121,100.2749342,98.06305602,99.98624324,99.76326005,99.50088101,99.92525639,100.6134103,100.3943702,100.7680803,99.99739115,100.4837669,99.96322275,99.96444608,100.1144831,100,100.3590638,99.99027238,100,100.3818158,100,100,100,100,100.2316578,100.2156098,99.99467778,100.7689061,100.48075,100.0609783,100,100,99.2548317,100.1639489,100,100,100.3158115,99.72630668,100.3567799,99.65142307,100.5460242,100,100,100,100,100,100,100.0471214,100,100.5925567,100.3669636,100.1145289,99.90023102,100,101.3958422,98.73553936,100.7365853,99.24842755,100.491685,100.2076568,100.0112952,100.1316417,100,100.9610146,117.068966,100.8209222,99.06518584,102.4848677,101.1929838,100.4510696,100.2048349,100,100,101.1053405,100.1630297,100,100,100,99.93815348,100,103.4841863,100.3935501,101.7100217,101.1085085,101.1933678,100.2334983,100.9138168,100.4491268,99.54792061,102.3058876,100.559297,99.64738237,99.97561102,100.633468,100,100.4548895,99.47137949,100.3072756,99.74964558,100.5271496,100,99.41770282,99.93052205,100.6630171,100,100,98.94523335,100,99.87623764,99.45853732,100.8168485,100.0028483,100.3352854,99.59530545,100.4609295,100.8306647,101.1344377,100.3410541,100.0666271,102.5044637,101.821721,99.87571917,99.8786048,99.59676871,100.3823943,99.7802253,103.596879,101.1686124,101.0140163,101.0605784,100,100,100,100,103.097969,99.80589052,100,101.2881988,100,100.8120893,99.95990451,101.1189762,100.9939605,102.7747367,100,100.2107435,100.1423312,100.1738642,102.0835923,102.4134181,102.2753328,100.6616848,100.3642357,100.9053337,101.021106,100,103.8983044,100,100,100,105.4002056,100.904393,100.3778609,99.84113645,99.32866343,100.2823735,97.7523836,101.2127765,99.7819519,98.15015493,99.31107841,100.1839552,100.6794857,101.4230456,100.1460442,100.0218961,100.8892558,101.6625132,100.9380975,100.3590442,100,100.289312,100.589468,100,100,100.071717,100,100,100,100,101.2080904,100,100,100

